foot,channel,mass_g,trial_1,trial_2,trial_3,trial_4,trial_5,mean_response,median_response,std_response,cv_percent,noise_3sigma,signal_to_3sigma
Left,0,1000.0,1929.1000000000001,5533.099999999999,1658.3,815.7,6875.7,3362.38,1929.1000000000001,2669.232191473795,79.3852030845352,199.5,16.8540350877193
Left,1,1000.0,1737.1000000000001,1698.5,1861.3,1506.7,2210.8999999999996,1802.8999999999999,1737.1000000000001,261.1694852007024,14.486077164607156,210.60000000000002,8.560778727445392
Left,2,1000.0,1923.8000000000002,1753.8000000000002,1313.4,1296.0,2359.8,1729.3600000000001,1753.8000000000002,446.28534369840116,25.806387547902183,202.79999999999998,8.527416173570021
Left,3,1000.0,45.699999999999996,42.300000000000004,73.5,34.699999999999996,69.1,53.059999999999995,45.699999999999996,17.190927839997467,32.399034753104914,214.20000000000002,0.24771241830065355
Left,4,1000.0,118.79999999999998,3.200000000000003,0.6000000000000014,29.4,43.4,39.08,29.4,48.05134753573514,122.95636523985452,207.60000000000002,0.18824662813102117
Left,5,1000.0,0.0,0.0,9.899999999999999,29.900000000000002,14.899999999999999,10.94,9.899999999999999,12.405764789000315,113.3982156215751,207.29999999999998,0.05277375783888085
Left,6,1000.0,10.600000000000001,22.599999999999998,0.0,0.0,0.0,6.64,0.0,10.033344407524341,151.1045844506678,210.0,0.031619047619047616
Left,7,1000.0,3608.4,1931.3999999999999,2893.6000000000004,3126.6000000000004,3473.0,3006.6000000000004,3126.6000000000004,663.8742802669796,22.080565431616424,205.79999999999998,14.609329446064143
Left,8,1000.0,165.8,150.6,42.400000000000006,77.8,91.2,105.56,91.2,51.53511424262102,48.82068420104302,197.70000000000002,0.5339403136064744
Left,9,1000.0,0.0,10.200000000000003,9.600000000000001,3.6000000000000014,0.0,4.6800000000000015,3.6000000000000014,4.991192242340502,106.64940688761753,199.5,0.02345864661654136
Left,10,1000.0,52.8,82.8,320.0,374.0,351.0,236.12,320.0,155.20744827488144,65.73244463615173,204.60000000000002,1.1540566959921799
Left,11,1000.0,45.8,31.4,124.6,117.0,132.8,90.32,117.0,47.814976733237046,52.93952251244137,220.5,0.4096145124716553
