foot,target_channel,trial,mass_g,scan_count,target_raw_average,target_corrected,strongest_other_channel,strongest_other_corrected,raw_C00,raw_C01,raw_C02,raw_C03,raw_C04,raw_C05,raw_C06,raw_C07,raw_C08,raw_C09,raw_C10,raw_C11,corrected_C00,corrected_C01,corrected_C02,corrected_C03,corrected_C04,corrected_C05,corrected_C06,corrected_C07,corrected_C08,corrected_C09,corrected_C10,corrected_C11
Left,0,1,1000.0,5,1941.4,1929.1000000000001,5,59.900000000000006,1941.4,146.6,54.4,47.6,59.8,75.2,64.4,18.0,23.4,16.6,-10.8,-15.6,1929.1000000000001,0.0,3.799999999999997,24.5,36.4,59.900000000000006,47.2,0.0,0.0,0.0,0.0,0.0
Left,0,2,1000.0,5,5545.4,5533.099999999999,11,53.6,5545.4,187.4,25.0,34.0,18.6,10.2,63.6,7.4,28.8,-11.4,26.0,63.6,5533.099999999999,13.099999999999994,0.0,10.899999999999999,0.0,0.0,46.400000000000006,0.0,1.8000000000000007,0.0,11.8,53.6
Left,0,3,1000.0,5,1670.6,1658.3,7,66.0,1670.6,77.4,54.4,53.2,47.2,-9.0,-21.6,90.2,28.8,35.2,15.4,17.0,1658.3,0.0,3.799999999999997,30.1,23.800000000000004,0.0,0.0,66.0,1.8000000000000007,1.8000000000000043,1.200000000000001,7.0
Left,0,4,1000.0,5,828.0,815.7,6,65.39999999999999,828.0,184.0,56.6,32.0,33.6,1.4,82.6,14.6,58.8,42.2,6.4,63.0,815.7,9.699999999999989,6.0,8.899999999999999,10.200000000000003,0.0,65.39999999999999,0.0,31.799999999999997,8.800000000000004,0.0,53.0
Left,0,5,1000.0,5,6888.0,6875.7,3,43.49999999999999,6888.0,180.2,30.6,66.6,10.8,49.0,-37.0,2.2,57.0,30.2,50.8,2.4,6875.7,5.899999999999977,0.0,43.49999999999999,0.0,33.7,0.0,0.0,30.0,0.0,36.599999999999994,0.0
Left,1,1,1000.0,5,1911.4,1737.1000000000001,6,40.599999999999994,-4.8,1911.4,66.0,41.2,56.2,54.0,57.8,40.8,10.0,-32.0,-51.4,-51.0,0.0,1737.1000000000001,15.399999999999999,18.1,32.800000000000004,38.7,40.599999999999994,16.599999999999998,0.0,0.0,0.0,0.0
Left,1,2,1000.0,5,1872.8,1698.5,0,26.7,39.0,1872.8,56.8,-3.2,17.0,40.0,-59.4,49.0,21.4,20.8,26.0,-20.0,26.7,1698.5,6.199999999999996,0.0,0.0,24.7,0.0,24.8,0.0,0.0,11.8,0.0
Left,1,3,1000.0,5,2035.6,1861.3,11,43.6,38.2,2035.6,51.4,-54.4,3.2,13.8,54.4,14.0,13.0,26.0,-16.8,53.6,25.900000000000002,1861.3,0.7999999999999972,0.0,0.0,0.0,37.2,0.0,0.0,0.0,0.0,43.6
Left,1,4,1000.0,5,1681.0,1506.7,6,35.2,-9.8,1681.0,25.8,4.8,44.6,21.0,52.4,4.6,21.0,-10.0,21.0,24.4,0.0,1506.7,0.0,0.0,21.200000000000003,5.699999999999999,35.2,0.0,0.0,0.0,6.800000000000001,14.399999999999999
Left,1,5,1000.0,5,2385.2,2210.8999999999996,2,30.999999999999993,-30.4,2385.2,81.6,-5.4,-15.2,-49.4,35.6,51.0,20.4,17.6,-11.0,17.2,0.0,2210.8999999999996,30.999999999999993,0.0,0.0,0.0,18.400000000000002,26.8,0.0,0.0,0.0,7.199999999999999
Left,2,1,1000.0,5,1974.4,1923.8000000000002,7,27.599999999999998,-13.4,137.8,1974.4,45.6,41.4,28.8,38.0,51.8,32.8,19.6,-8.2,-22.2,0.0,0.0,1923.8000000000002,22.5,18.0,13.5,20.8,27.599999999999998,5.799999999999997,0.0,0.0,0.0
Left,2,2,1000.0,5,1804.4,1753.8000000000002,10,43.2,-10.4,125.4,1804.4,52.2,19.8,15.0,33.8,13.0,-44.2,-13.2,57.4,50.6,0.0,0.0,1753.8000000000002,29.1,0.0,0.0,16.599999999999998,0.0,0.0,0.0,43.2,40.6
Left,2,3,1000.0,5,1364.0,1313.4,3,29.699999999999996,23.6,187.2,1364.0,52.8,44.2,20.6,-17.4,-4.6,38.8,6.4,12.2,-34.6,11.3,12.899999999999977,1313.4,29.699999999999996,20.800000000000004,5.300000000000001,0.0,0.0,11.799999999999997,0.0,0.0,0.0
Left,2,4,1000.0,5,1346.6,1296.0,11,34.6,33.6,124.4,1346.6,14.0,52.0,20.2,39.0,42.6,-16.6,26.0,19.0,44.6,21.3,0.0,1296.0,0.0,28.6,4.899999999999999,21.8,18.400000000000002,0.0,0.0,4.800000000000001,34.6
Left,2,5,1000.0,5,2410.4,2359.8,10,45.0,48.6,168.8,2410.4,62.4,-42.2,24.6,24.6,31.0,-9.8,-30.0,59.2,9.2,36.3,0.0,2359.8,39.3,0.0,9.3,7.400000000000002,6.800000000000001,0.0,0.0,45.0,0.0
Left,3,1,1000.0,5,68.8,45.699999999999996,8,58.400000000000006,14.2,212.2,6.8,68.8,61.2,22.8,16.4,-33.0,85.4,24.6,4.2,-1.2,1.8999999999999986,37.89999999999998,0.0,45.699999999999996,37.800000000000004,7.5,0.0,0.0,58.400000000000006,0.0,0.0,0.0
Left,3,2,1000.0,5,65.4,42.300000000000004,0,82.10000000000001,94.4,189.6,26.0,65.4,23.6,29.6,-11.2,22.4,53.2,3.8,28.2,50.6,82.10000000000001,15.299999999999983,0.0,42.300000000000004,0.20000000000000284,14.3,0.0,0.0,26.200000000000003,0.0,14.0,40.6
